time,output
1,-36
2,-36
3,-36
4,-36
5,-36.8
6,-36
7,-36.8
8,-36.8
9,-36.8
10,-36.8
11,-37.6
12,-37.6
13,-36.8
14,-37.6
15,-37.6
16,-37.6
17,-37.6
18,-37.6
19,-37.6
20,-37.6
21,-38.4
22,-37.6
23,-38.4
24,-38.4
25,-38.4
26,-38.4
27,-38.4
28,-38.4
29,-38.4
30,-38.4
31,-38.4
32,-38.4
33,-38.4
34,-38.4
35,-39.2
36,-38.4
37,-39.2
38,-38.4
39,-39.2
40,-38.4
41,-38.4
42,-39.2
43,-39.2
44,-39.2
45,-39.2
46,-40
47,-39.2
48,-39.2
49,-39.2
50,-40
51,-39.2
52,-40
53,-39.2
54,-39.2
55,-40
56,-40
57,-40
58,-40
59,-40
60,-40
61,-39.2
62,-40
63,-40
64,-40
65,-39.2
66,-39.2
67,-40
68,-40
69,-40
70,-40
71,-40
72,-40
73,-40
74,-40
75,-40
76,-40
77,-40
78,-40
79,-40
80,-39.2
81,-40
82,-40
83,-40
84,-40
85,-40
86,-40
87,-40
88,-40
89,-40
90,-40
91,-40
92,-40
93,-40
94,-40
95,-40
96,-40
97,-40
98,-40
99,-40
100,-40
101,-40
102,-40
103,-40
104,-40
105,-40
106,-40
107,-40
108,-40
109,-39.2
110,-39.2
111,-40
112,-40
113,-39.2
114,-40
115,-39.2
116,-40
117,-39.2
118,-39.2
119,-39.2
120,-39.2
121,-39.2
122,-39.2
123,-39.2
124,-38.4
125,-39.2
126,-38.4
127,-38.4
128,-38.4
129,-38.4
130,-38.4
131,-38.4
132,-38.4
133,-38.4
134,-38.4
135,-38.4
136,-37.6
137,-38.4
138,-38.4
139,-37.6
140,-37.6
141,-37.6
142,-37.6
143,-36
144,-37.6
145,-36.8
146,-36
147,-36.8
148,-36
149,-36
150,-36
151,-36
152,-35.2
153,-35.2
154,-35.2
155,-36
156,-34.4
157,-34.4
158,-35.2
159,-34.4
160,-34.4
161,-34.4
162,-34.4
163,-33.6
164,-33.6
165,-33.6
166,-33.6
167,-32.8
168,-32.8
169,-32.8
170,-32.8
171,-32.8
172,-32
173,-32
174,-32
175,-32
176,-31.2
177,-31.2
178,-31.2
179,-31.2
180,-31.2
181,-30.4
182,-30.4
183,-30.4
184,-29.6
185,-30.4
186,-30.4
187,-29.6
188,-29.6
189,-28.8
190,-28.8
191,-28.8
192,-29.6
193,-28
194,-28
195,-28
196,-28
197,-27.2
198,-27.2
199,-27.2
200,-27.2
201,-26.4
202,-26.4
203,-26.4
204,-25.6
205,-25.6
206,-24.8
207,-24.8
208,-24.8
209,-24.8
210,-24.8
211,-24
212,-24
213,-24
214,-24
215,-23.2
216,-23.2
217,-23.2
218,-23.2
219,-23.2
220,-22.4
221,-21.6
222,-22.4
223,-21.6
224,-20.8
225,-20.8
226,-20.8
227,-20.8
228,-20
229,-20
230,-20
231,-20
232,-20
233,-19.2
234,-19.2
235,-18.4
236,-18.4
237,-18.4
238,-17.6
239,-17.6
240,-17.6
241,-17.6
242,-16.8
243,-16.8
244,-16.8
245,-16.8
246,-16
247,-16
248,-15.2
249,-15.2
250,-14.4
251,-14.4
252,-14.4
253,-14.4
254,-13.6
