time,resonance
4.64,104.602509
0.12,104
9.76,105.374077
9.52,105.263161
9.28,105.152481
9.12,105.042015
9.2,105.263161
9.04,104.931801
8.96,105.263161
8.639999,105.152481
8.24,104.602509
8.24,104.8218
8.48,104.712044
8.4,104.602509
8.4,104.712044
8.32,104.8218
8.48,104.49321
8.32,104.8218
8.32,104.8218
8.4,104.931801
8.16,104.602509
8.24,104.166672
8.08,104.49321
8,104.712044
8.24,104.8218
7.68,104.8218
8.16,104.8218
7.76,104.602509
7.76,105.042015
7.68,104.8218
7.84,104.8218
7.76,104.602509
7.76,104.712044
7.92,104.8218
8,104.8218
7.68,104.602509
8.4,104.602509
8.24,104.602509
8.16,104.8218
8.16,104.712044
8.16,105.042015
8.24,104.602509
8.24,104.602509
8.16,104.38414
8.24,104.602509
8.16,104.602509
8.24,104.602509
8.24,104.602509
8.16,104.38414
8.16,104.602509
8,104.931801
7.52,104.602509
1.28,193.798462
1.28,193.798462
1.36,205.761322
1.28,104.38414
1.28,194.552521
1.36,105.708252
1.36,207.468887
1.36,104.38414
1.36,105.042015
1.28,104.8218
1.28,196.078445
1.36,196.078445
1.36,105.708252
1.36,104.166672
1.36,104.8218
7.04,104.166672
7.28,104.166672
7.04,104.166672
7.12,103.950104
6.96,104.166672
7.52,104.49321
7.2,104.38414
7.04,103.950104
7.04,104.38414
6.96,103.950104
7.04,104.166672
7.04,104.166672
7.2,104.166672
7.12,104.275291
1.12,207.468887
7.28,104.38414
7.12,104.166672
7.04,104.38414
7.12,104.166672
8.4,104.602509
8.24,104.220947
8.32,104.166672
7.92,104.602509
7.36,104.275291
6.88,104.275291
7.12,104.166672
7.04,104.38414
6.8,103.896103
7.2,103.950104
6.88,103.950104
6.88,104.058273
7.04,104.166672
6.72,104.166672
6.56,104.166672
7.28,104.166672
6.8,104.38414
7.2,104.058273
7.44,104.166672
6.32,104.166672
7.36,104.275291
8.24,104.275291
7.04,104.275291
6.72,104.166672
6.32,104.275291
7.04,104.058273
6.88,104.329689
6.8,104.166672
6.08,104.166672
7.2,103.950104
7.28,104.166672
6.8,103.788277
6.96,104.220947
6.96,104.38414
7.28,104.058273
6.96,104.166672
6.08,103.950104
7.36,104.275291
6.96,104.712044
6.88,103.842155
7.44,104.058273
7.36,104.275291
7.44,104.275291
7.52,104.275291
7.28,104.058273
7.28,104.220947
7.6,104.38414
7.52,104.166672
6.96,104.058273
7.28,104.166672
7.28,104.166672
7.12,104.058273
6.88,104.058273
6.96,103.950104
6.96,104.275291
6.96,104.166672
6.96,103.950104
0.06,9.9E+37
6.8,103.842155
6.72,103.412621
6.64,103.412621
6.559999,103.092789
6.48,103.412621
6.4,103.199181
6.4,103.199181
6.32,103.412621
6.32,103.412621
6.24,103.305786
6.4,103.412621
6.32,103.199181
6.08,103.626945
6.4,103.305786
6,103.412621
6.16,103.519669
6.32,103.305786
6.32,103.412621
6.16,103.092789
6.32,103.092789
6.24,103.626945
6.16,103.199181
6.32,103.626945
6.4,103.519669
6.08,103.412621
6.16,103.626945
6.16,103.734444
6.08,103.199181
6.32,103.842155
6.16,103.199181
6.08,103.199181
6.08,103.412621
6.32,103.092789
6.08,103.842155
6.08,103.466125
6.08,103.734444
6.16,103.519669
6.16,103.412621
6,103.57328
6.16,103.412621
6.08,103.412621
6.16,103.199181
6,103.305786
6.08,103.305786
6,103.519669
6.08,103.626945
6,102.98661
6,103.734444
6.16,103.734444
6.08,103.412621
6,103.626945
6.16,103.412621
6.16,103.199181
6,103.199181
6.08,103.626945
6.16,103.305786
6.08,103.305786
6,103.519669
6.08,103.412621
5.92,103.305786
6,103.626945
6.16,103.519669
6,103.412621
6.08,103.199181
6.16,103.199181
5.76,103.412621
5.76,103.305786
5.76,103.412621
5.76,103.626945
5.6,103.412621
5.52,103.14595
5.44,103.199181
5.6,103.252457
5.76,102.249489
6.08,103.734444
5.84,103.519669
5.76,103.519669
5.68,103.412621
5.52,103.680664
7.04,103.806229
7.2,104.058273
7.12,104.166672
7.04,103.950104
7.12,103.950104
7.04,104.166672
6.96,103.680664
6.88,103.842155
6.72,104.004166
6.8,103.842155
6.64,104.058273
6.72,104.38414
6.64,103.842155
6.64,103.734444
6.64,104.058273
6.64,103.842155
6.56,103.950104
6.56,104.058273
6.56,104.49321
6.64,103.950104
6.4,103.950104
6.24,104.058273
6.48,104.166672
6.4,104.058273
6.48,103.734444
6.4,103.734444
6.56,104.166672
6.48,104.004166
6.32,104.166672
6.32,103.950104
6.24,103.950104
6.24,104.058273
6.32,103.305786
6.24,104.166672
6.08,103.519669
6.24,104.602509
6.8,103.950104
7.76,103.950104
7.04,104.166672
6.96,103.842155
6.96,104.275291
6.559999,104.112442
7.92,104.058273
7.84,103.842155
8.16,103.734444
8.08,104.220947
6.88,103.519669
7.12,103.305786
6.639999,103.199181
6.8,103.305786
6.96,103.734444
6.8,103.092789
6.4,103.199181
7.04,103.626945
6.64,103.412621
6,103.626945
6.8,103.199181
6.72,103.519669
6.08,103.412621
6.559999,103.412621
6.24,103.199181
6.4,103.199181
6.16,103.305786
6,103.199181
5.92,103.305786
6.08,103.199181
6.32,102.774925
6,104.058273
6.16,103.199181
6.96,103.305786
6.4,103.092789
6.48,103.092789
6.72,103.092789
6.72,102.774925
7.04,103.412621
6.96,103.199181
6.96,102.98661
7.04,103.412621
7.04,102.880661
6.96,103.092789
6.88,103.519669
6.8,103.412621
6.4,102.98661
6.56,102.669411
6.32,102.880661
6.72,103.199181
6.639999,103.519669
6.4,102.98661
6.48,103.092789
6.8,103.199181
6.32,103.412621
6.48,103.199181
6.559999,102.98661
6.32,102.880661
6.639999,103.092789
6.48,103.519669
6.16,103.199181
6.16,103.950104
6.64,102.669411
6.08,103.412621
6.96,103.519669
6.64,103.305786
6.24,103.842155
6.4,103.305786
5.84,102.933609
6.08,102.880661
6,103.842155
5.6,102.774925
5.6,102.249489
5.44,102.98661
6.72,103.199181
6.64,103.305786
6.48,103.466125
6.08,103.519669
6,103.412621
6.08,103.519669
6.72,102.98661
6.32,103.199181
5.76,103.734444
6.24,103.519669
6.16,103.199181
6.4,103.092789
6.72,103.519669
6.24,103.199181
